Rank1,YearType,Year,Value,Unit,Attribute,Commodity,CommodityType
378,Market year,2021/22,2.2,Dollars per bushel,Loan rate,Corn,Crops
379,Market year,2021/22,3.65,Dollars per bushel,Farm price,Corn,Crops
380,Market year,2021/22,15.2,Percent,"Stocks/use ratio, percent",Corn,Crops
381,Market year,2021/22,338,Dollars,Variable cost of production (per acre),Corn,Crops
382,Market year,2021/22,1.87,Dollars,Variable cost of production (per bushel),Corn,Crops
383,Market year,2021/22,180.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
384,Market year,2021/22,1,Million acres,Harvested acres,Oats,Crops
385,Market year,2021/22,2.9,Million acres,Planted acres,Oats,Crops
386,Market year,2021/22,40,Million bushels,Beginning stocks,Oats,Crops
387,Market year,2021/22,40,Million bushels,Ending stocks,Oats,Crops
388,Market year,2021/22,95,Million bushels,Imports,Oats,Crops
389,Market year,2021/22,67,Million bushels,Production,Oats,Crops
390,Market year,2021/22,202,Million bushels,Total supply,Oats,Crops
391,Market year,2021/22,160,Million bushels,Domestic use,Oats,Crops
392,Market year,2021/22,80,Million bushels,"Food, seed, & industrial",Oats,Crops
393,Market year,2021/22,80,Million bushels,Feed & residual,Oats,Crops
394,Market year,2021/22,162,Million bushels,Total use,Oats,Crops
395,Market year,2021/22,2,Million bushels,Exports,Oats,Crops
396,Market year,2021/22,51,Dollars per acre,Net returns,Oats,Crops
397,Market year,2021/22,2,Dollars per bushel,Loan rate,Oats,Crops
398,Market year,2021/22,2.7,Dollars per bushel,Farm price,Oats,Crops
399,Market year,2021/22,24.7,Percent,"Stocks/use ratio, percent",Oats,Crops
400,Market year,2021/22,129,Dollars,Variable cost of production (per acre),Oats,Crops
401,Market year,2021/22,1.94,Dollars,Variable cost of production (per bushel),Oats,Crops
402,Market year,2021/22,66.6,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
403,Market year,2021/22,2552,Thousand acres,Harvested acres,Rice,Crops
404,Market year,2021/22,2600,Thousand acres,Planted acres,Rice,Crops
405,Market year,2021/22,443,Dollars per acre,Net returns,Rice,Crops
406,Market year,2021/22,16.2,Percent,"Stocks/use ratio, percent",Rice,Crops
407,Market year,2021/22,7,Dollars per hundredweight,Loan rate,Rice,Crops
408,Market year,2021/22,13.2,Dollars per hundredweight,Farm price,Rice,Crops
409,Market year,2021/22,566,Dollars,Variable cost of production (per acre),Rice,Crops
410,Market year,2021/22,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
411,Market year,2021/22,47.7,Million hundredweight,Beginning stocks,Rice,Crops
412,Market year,2021/22,39.3,Million hundredweight,Ending stocks,Rice,Crops
413,Market year,2021/22,70,Million hundredweight,"Milling rate, percent",Rice,Crops
414,Market year,2021/22,39.5,Million hundredweight,Imports,Rice,Crops
415,Market year,2021/22,195.1,Million hundredweight,Production,Rice,Crops
416,Market year,2021/22,282.3,Million hundredweight,Total supply,Rice,Crops
417,Market year,2021/22,145,Million hundredweight,Domestic use & residual,Rice,Crops
418,Market year,2021/22,243,Million hundredweight,Total use,Rice,Crops
419,Market year,2021/22,98,Million hundredweight,Exports,Rice,Crops
420,Market year,2021/22,7645,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
421,Market year,2021/22,6.2,Million acres,Harvested acres,Sorghum,Crops
422,Market year,2021/22,7,Million acres,Planted acres,Sorghum,Crops
423,Market year,2021/22,30,Million bushels,Beginning stocks,Sorghum,Crops
424,Market year,2021/22,32,Million bushels,Ending stocks,Sorghum,Crops
425,Market year,2021/22,0,Million bushels,Imports,Sorghum,Crops
426,Market year,2021/22,427,Million bushels,Production,Sorghum,Crops
427,Market year,2021/22,457,Million bushels,Total supply,Sorghum,Crops
428,Market year,2021/22,110,Million bushels,Domestic use,Sorghum,Crops
429,Market year,2021/22,40,Million bushels,"Food, seed, & industrial",Sorghum,Crops
430,Market year,2021/22,70,Million bushels,Feed & residual,Sorghum,Crops
431,Market year,2021/22,425,Million bushels,Total use,Sorghum,Crops
432,Market year,2021/22,315,Million bushels,Exports,Sorghum,Crops
433,Market year,2021/22,132,Dollars per acre,Net returns,Sorghum,Crops
434,Market year,2021/22,2.2,Dollars per bushel,Loan rate,Sorghum,Crops
435,Market year,2021/22,3.8,Dollars per bushel,Farm price,Sorghum,Crops
436,Market year,2021/22,7.5,Percent,"Stocks/use ratio, percent",Sorghum,Crops
437,Market year,2021/22,130,Dollars,Variable cost of production (per acre),Sorghum,Crops
438,Market year,2021/22,1.89,Dollars,Variable cost of production (per bushel),Sorghum,Crops
439,Market year,2021/22,69,Bushels per acre,Yield (bushel/harvested acre),Sorghum,Crops
440,Market year,2021/22,350,Dollars per short ton,Soybean meal price (dollar/ton),Soybean meal,Crops
441,Market year,2021/22,47,Pounds per bushel,"Crushing yields, soybean meal",Soybean meal,Crops
442,Market year,2021/22,400,Thousand short tons,Beginning stocks,Soybean meal,Crops
443,Market year,2021/22,400,Thousand short tons,Ending Stocks,Soybean meal,Crops
444,Market year,2021/22,52375,Thousand short tons,Total use,Soybean meal,Crops
445,Market year,2021/22,400,Thousand short tons,Imports,Soybean meal,Crops
446,Market year,2021/22,51975,Thousand short tons,Production,Soybean meal,Crops
447,Market year,2021/22,52775,Thousand short tons,Total supply,Soybean meal,Crops
448,Market year,2021/22,38725,Thousand short tons,Domestic use,Soybean meal,Crops
449,Market year,2021/22,13650,Thousand short tons,Exports,Soybean meal,Crops
450,Market year,2021/22,0,Dollars per pound,Soybean oil price (dollar/pound),Soybean oil,Crops
451,Market year,2021/22,12,Pounds per bushel,"Crushing yields, soybean oil",Soybean oil,Crops
452,Market year,2021/22,1755,Million pounds,Beginning stocks,Soybean oil,Crops
453,Market year,2021/22,1725,Million pounds,Ending Stocks,Soybean oil,Crops
454,Market year,2021/22,26000,Million pounds,Total use,Soybean oil,Crops
455,Market year,2021/22,450,Million pounds,Imports,Soybean oil,Crops
456,Market year,2021/22,25520,Million pounds,Production,Soybean oil,Crops
457,Market year,2021/22,27725,Million pounds,Total supply,Soybean oil,Crops
458,Market year,2021/22,23500,Million pounds,Domestic use,Soybean oil,Crops
459,Market year,2021/22,8150,Million pounds,"Soybean oil, for methyl ester",Soybean oil,Crops
460,Market year,2021/22,2500,Million pounds,Exports,Soybean oil,Crops
461,Market year,2021/22,88.2,Million acres,Harvested acres,Soybeans,Crops
462,Market year,2021/22,89,Million acres,Planted acres,Soybeans,Crops
463,Market year,2021/22,290,Million bushels,Beginning stocks,Soybeans,Crops
464,Market year,2021/22,255,Million bushels,Ending Stocks,Soybeans,Crops
465,Market year,2021/22,15,Million bushels,Imports,Soybeans,Crops
466,Market year,2021/22,4465,Million bushels,Production,Soybeans,Crops
467,Market year,2021/22,4770,Million bushels,Total supply,Soybeans,Crops
468,Market year,2021/22,2200,Million bushels,Crush,Soybeans,Crops
469,Market year,2021/22,140,Million bushels,Seed and residual,Soybeans,Crops
470,Market year,2021/22,4515,Million bushels,Total use,Soybeans,Crops
471,Market year,2021/22,2175,Million bushels,Exports,Soybeans,Crops
472,Market year,2021/22,345,Dollars per acre,Net returns,Soybeans,Crops
473,Market year,2021/22,6.2,Dollars per bushel,Loan rate,Soybeans,Crops
474,Market year,2021/22,2.2,Dollars per bushel,Crush margin (dollar/bushel),Soybeans,Crops
475,Market year,2021/22,10,Dollars per bushel,Farm price,Soybeans,Crops
476,Market year,2021/22,5.7,Percent,"Stocks/use ratio, percent",Soybeans,Crops
477,Market year,2021/22,161,Dollars,Variable cost of production (per acre),Soybeans,Crops
478,Market year,2021/22,3.19,Dollars,Variable cost of production (per bushel),Soybeans,Crops
479,Market year,2021/22,50.6,Bushels per acre,Yield (bushel/harvested acre),Soybeans,Crops
480,Market year,2021/22,9.5,Million acres,Harvested acres,Upland Cotton,Crops
481,Market year,2021/22,11.2,Million acres,Planted acres,Upland Cotton,Crops
482,Market year,2021/22,6940,Thousand bales,Beginning stocks,Upland Cotton,Crops
483,Market year,2021/22,6360,Thousand bales,Ending stocks,Upland Cotton,Crops
484,Market year,2021/22,5,Thousand bales,Imports,Upland Cotton,Crops
485,Market year,2021/22,16900,Thousand bales,Production,Upland Cotton,Crops
486,Market year,2021/22,23845,Thousand bales,Total supply,Upland Cotton,Crops
487,Market year,2021/22,2580,Thousand bales,Domestic use,Upland Cotton,Crops
488,Market year,2021/22,17430,Thousand bales,Total use,Upland Cotton,Crops
489,Market year,2021/22,14850,Thousand bales,Exports,Upland Cotton,Crops
490,Market year,2021/22,193,Dollars per acre,Net returns,Upland Cotton,Crops
491,Market year,2021/22,36.5,Percent,"Stocks/use ratio, percent",Upland Cotton,Crops
492,Market year,2021/22,0.52,Dollars per pound,Loan rate,Upland Cotton,Crops
493,Market year,2021/22,0.63,Dollars per pound,Farm price,Upland Cotton,Crops
494,Market year,2021/22,455,Dollars,Variable cost of production (per acre),Upland Cotton,Crops
495,Market year,2021/22,1,Dollars,Variable cost of production (per pound),Upland Cotton,Crops
496,Market year,2021/22,850,Pounds per acre,Yield (pounds/harvested acre),Upland Cotton,Crops
497,Market year,2021/22,38.5,Million acres,Harvested acres,Wheat,Crops
498,Market year,2021/22,46,Million acres,Planted acres,Wheat,Crops
499,Market year,2021/22,883,Million bushels,Beginning stocks,Wheat,Crops
500,Market year,2021/22,830,Million bushels,Ending stocks,Wheat,Crops
501,Market year,2021/22,120,Million bushels,Imports,Wheat,Crops
502,Market year,2021/22,1890,Million bushels,Production,Wheat,Crops
503,Market year,2021/22,2893,Million bushels,Total supply,Wheat,Crops
504,Market year,2021/22,1113,Million bushels,Domestic use,Wheat,Crops
505,Market year,2021/22,961,Million bushels,Food,Wheat,Crops
506,Market year,2021/22,90,Million bushels,Feed & residual,Wheat,Crops
507,Market year,2021/22,62,Million bushels,Seed,Wheat,Crops
508,Market year,2021/22,2063,Million bushels,Total use,Wheat,Crops
509,Market year,2021/22,950,Million bushels,Exports,Wheat,Crops
510,Market year,2021/22,109,Dollars per acre,Net returns,Wheat,Crops
511,Market year,2021/22,3.38,Dollars per bushel,Loan rate,Wheat,Crops
512,Market year,2021/22,4.9,Dollars per bushel,Farm price,Wheat,Crops
513,Market year,2021/22,40.2,Percent,"Stocks/use ratio, percent",Wheat,Crops
514,Market year,2021/22,131,Dollars,Variable cost of production (per acre),Wheat,Crops
515,Market year,2021/22,2.67,Dollars,Variable cost of production (per bushel),Wheat,Crops
516,Market year,2021/22,49.1,Bushels per acre,Yield (bushel/harvested acre),Wheat,Crops
517,Market year,2022/23,2.2,Million acres,Harvested acres,Barley,Crops
518,Market year,2022/23,2.6,Million acres,Planted acres,Barley,Crops
519,Market year,2022/23,80,Million bushels,Beginning stocks,Barley,Crops
520,Market year,2022/23,83,Million bushels,Ending stocks,Barley,Crops
521,Market year,2022/23,10,Million bushels,Imports,Barley,Crops
522,Market year,2022/23,171,Million bushels,Production,Barley,Crops
523,Market year,2022/23,261,Million bushels,Total supply,Barley,Crops
524,Market year,2022/23,173,Million bushels,Domestic use,Barley,Crops
525,Market year,2022/23,143,Million bushels,"Food, seed, & industrial",Barley,Crops
526,Market year,2022/23,30,Million bushels,Feed & residual,Barley,Crops
527,Market year,2022/23,178,Million bushels,Total use,Barley,Crops
528,Market year,2022/23,5,Million bushels,Exports,Barley,Crops
529,Market year,2022/23,177,Dollars per acre,Net returns,Barley,Crops
530,Market year,2022/23,2.5,Dollars per bushel,Loan rate,Barley,Crops
531,Market year,2022/23,4.55,Dollars per bushel,Farm price,Barley,Crops
532,Market year,2022/23,46.6,Percent,"Stocks/use ratio, percent",Barley,Crops
533,Market year,2022/23,176,Dollars,Variable cost of production (per acre),Barley,Crops
534,Market year,2022/23,2.27,Dollars,Variable cost of production (per bushel),Barley,Crops
535,Market year,2022/23,77.5,Bushels per acre,Yield (bushel/harvested acre),Barley,Crops
536,Market year,2022/23,82.5,Million acres,Harvested acres,Corn,Crops
537,Market year,2022/23,90,Million acres,Planted acres,Corn,Crops
538,Market year,2022/23,2257,Million bushels,Beginning stocks,Corn,Crops
539,Market year,2022/23,2367,Million bushels,Ending stocks,Corn,Crops
540,Market year,2022/23,25,Million bushels,Imports,Corn,Crops
541,Market year,2022/23,15055,Million bushels,Production,Corn,Crops
542,Market year,2022/23,17337,Million bushels,Total supply,Corn,Crops
543,Market year,2022/23,12595,Million bushels,Domestic use,Corn,Crops
544,Market year,2022/23,5125,Million bushels,Ethanol and by-products,Corn,Crops
545,Market year,2022/23,6545,Million bushels,"Food, seed, & industrial",Corn,Crops
546,Market year,2022/23,6050,Million bushels,Feed & residual,Corn,Crops
547,Market year,2022/23,14970,Million bushels,Total use,Corn,Crops
548,Market year,2022/23,2375,Million bushels,Exports,Corn,Crops
549,Market year,2022/23,320,Dollars per acre,Net returns,Corn,Crops
550,Market year,2022/23,2.2,Dollars per bushel,Loan rate,Corn,Crops
551,Market year,2022/23,3.6,Dollars per bushel,Farm price,Corn,Crops
552,Market year,2022/23,15.8,Percent,"Stocks/use ratio, percent",Corn,Crops
553,Market year,2022/23,337,Dollars,Variable cost of production (per acre),Corn,Crops
554,Market year,2022/23,1.84,Dollars,Variable cost of production (per bushel),Corn,Crops
555,Market year,2022/23,182.5,Bushels per acre,Yield (bushel/harvested acre),Corn,Crops
556,Market year,2022/23,1,Million acres,Harvested acres,Oats,Crops
557,Market year,2022/23,2.8,Million acres,Planted acres,Oats,Crops
558,Market year,2022/23,40,Million bushels,Beginning stocks,Oats,Crops
559,Market year,2022/23,39,Million bushels,Ending stocks,Oats,Crops
560,Market year,2022/23,95,Million bushels,Imports,Oats,Crops
561,Market year,2022/23,67,Million bushels,Production,Oats,Crops
562,Market year,2022/23,202,Million bushels,Total supply,Oats,Crops
563,Market year,2022/23,161,Million bushels,Domestic use,Oats,Crops
564,Market year,2022/23,81,Million bushels,"Food, seed, & industrial",Oats,Crops
565,Market year,2022/23,80,Million bushels,Feed & residual,Oats,Crops
566,Market year,2022/23,163,Million bushels,Total use,Oats,Crops
567,Market year,2022/23,2,Million bushels,Exports,Oats,Crops
568,Market year,2022/23,48,Dollars per acre,Net returns,Oats,Crops
569,Market year,2022/23,2,Dollars per bushel,Loan rate,Oats,Crops
570,Market year,2022/23,2.65,Dollars per bushel,Farm price,Oats,Crops
571,Market year,2022/23,23.9,Percent,"Stocks/use ratio, percent",Oats,Crops
572,Market year,2022/23,129,Dollars,Variable cost of production (per acre),Oats,Crops
573,Market year,2022/23,1.93,Dollars,Variable cost of production (per bushel),Oats,Crops
574,Market year,2022/23,66.9,Bushels per acre,Yield (bushel/harvested acre),Oats,Crops
575,Market year,2022/23,2650,Thousand acres,Harvested acres,Rice,Crops
576,Market year,2022/23,2700,Thousand acres,Planted acres,Rice,Crops
577,Market year,2022/23,432,Dollars per acre,Net returns,Rice,Crops
578,Market year,2022/23,15.7,Percent,"Stocks/use ratio, percent",Rice,Crops
579,Market year,2022/23,7,Dollars per hundredweight,Loan rate,Rice,Crops
580,Market year,2022/23,13,Dollars per hundredweight,Farm price,Rice,Crops
581,Market year,2022/23,565,Dollars,Variable cost of production (per acre),Rice,Crops
582,Market year,2022/23,8,Dollars,Variable cost of production (per hundredweight),Rice,Crops
583,Market year,2022/23,39.3,Million hundredweight,Beginning stocks,Rice,Crops
584,Market year,2022/23,38.5,Million hundredweight,Ending stocks,Rice,Crops
585,Market year,2022/23,70,Million hundredweight,"Milling rate, percent",Rice,Crops
586,Market year,2022/23,40.5,Million hundredweight,Imports,Rice,Crops
587,Market year,2022/23,203.2,Million hundredweight,Production,Rice,Crops
588,Market year,2022/23,283,Million hundredweight,Total supply,Rice,Crops
589,Market year,2022/23,145.6,Million hundredweight,Domestic use & residual,Rice,Crops
590,Market year,2022/23,244.6,Million hundredweight,Total use,Rice,Crops
591,Market year,2022/23,99,Million hundredweight,Exports,Rice,Crops
592,Market year,2022/23,7668,Pounds per acre,Yield (pounds/harvested acre),Rice,Crops
